Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000001;155680557;A01;1;30;0;0;5;1;1;
202300000002;155680556;A01;2;7;0;1;1;1;1;
202300000003;155680554;B01;1;2;0;2;1;16;1;
202300000003;155680555;A01;2;7;0;2;2;15;1;
202300000004;155680551;B01;1;7;0;2;9;2;4;
202300000004;155680552;C01;1;7;0;2;4;0;4;
202300000004;155680553;A01;1;10;0;2;1;2;1;
202300000005;155680549;B01;1;7;0;2;2;1;1;
202300000005;155680550;A01;1;7;0;2;3;1;1;
202300000006;155680548;A01;1;7;0;1;3;15;1;
202300000007;155680545;C01;2;10;0;2;1;1;0;
202300000007;155680546;A01;2;7;0;2;4;23;2;
202300000007;155680547;B01;2;7;0;2;1;1;1;
202300000008;155680543;B01;2;7;0;2;1;1;1;
202300000008;155680544;A01;3;7;0;2;2;1;2;
202300000009;155680541;A01;2;7;0;2;2;15;0;
202300000009;155680542;B01;1;32;0;2;1;1;0;
202300000010;155680540;B01;1;7;0;1;1;1;1;
202300000011;155680538;A01;2;7;0;2;5;26;1;
202300000011;155680539;B01;2;7;0;2;2;1;1;
202300000012;155680536;B01;2;36;0;2;2;1;1;
202300000012;155680537;A01;3;33;0;2;0;0;1;
202300000013;155680534;A01;0;10;0;2;5;4;1;
202300000013;155680535;B01;0;50;0;2;8;1;3;
202300000014;155680533;A01;2;7;4;0;3;1;1;
202300000015;155680531;A01;2;7;0;2;1;1;1;
202300000015;155680532;B01;2;7;0;2;4;1;1;
202300000016;155680529;A01;1;7;0;2;8;11;2;
202300000016;155680530;B01;1;7;0;2;2;1;1;
202300000017;155680527;B01;2;1;0;2;1;13;5;
202300000017;155680528;A01;1;7;0;9;1;15;1;
202300000018;155680525;A01;2;7;0;2;1;15;1;
202300000018;155680526;B01;1;7;0;2;2;17;1;
202300000019;155680524;A01;1;36;0;0;9;9;1;
202300000020;155680522;A01;3;36;0;2;1;0;1;
202300000020;155680523;B01;3;31;0;2;1;1;1;
202300000021;155680520;B01;1;7;0;2;4;15;-1;
202300000021;155680521;A01;1;2;0;2;1;1;1;
202300000022;155680518;A01;1;33;0;2;1;17;1;
202300000022;155680519;B01;2;7;0;2;3;1;1;
202300000023;155680516;A01;1;7;0;2;1;26;1;
202300000023;155680517;B01;3;2;0;0;7;26;1;
202300000024;155680515;A01;1;3;7;0;2;1;1;
202300000025;155680513;C01;0;1;0;0;0;2;5;
202300000025;155680514;A01;0;15;0;0;0;2;1;
202300000026;155680511;A01;1;7;0;2;2;17;1;
202300000026;155680512;B01;1;80;0;2;0;1;3;
202300000027;155680510;A01;1;32;12;0;2;1;1;
